food_group,risk_diarrhea,risk_constipation
"111 - Milk, cow's, fluid, 2% fat",34,64
"112 - Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",52,66
"113 - Milk, soy, ready-to-drink, not baby's",37,64
"114 - Yogurt, fruit variety, lowfat milk",1,60
115 - Cafe con leche,51,75
"116 - Meal supplement or replacement, commercially prepared, ready-to-drink",52,66
"118 - Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted",49,66
"121 - Cream, half and half",44,62
"122 - Cream substitute, powdered",49,65
123 - Sour cream,52,64
"131 - Ice cream, regular, flavors other than chocolate",51,58
"132 - Pudding, rice",49,65
"134 - White sauce, milk sauce",52,65
"140 - Cheese, NFS",52,63
"141 - Cheese, natural, Cheddar or American type",43,60
"142 - Cheese, cottage, lowfat (1-2% fat)",39,63
"143 - Cheese, cream",52,64
"144 - Cheese, processed, American or Cheddar type",60,61
"146 - Dip, cheese base other than cream cheese",53,64
"210 - Beef, NS as to cut, cooked, NS as to fat eaten",51,66
"211 - Beef steak, broiled or baked, lean only eaten",46,67
"213 - Beef, shortribs, cooked, lean only eaten",53,66
"214 - Beef, roast, roasted, lean only eaten",53,64
"215 - Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)",59,60
216 - Beef jerky,52,65
"220 - Pork, NS as to cut, cooked, NS as to fat eaten",51,67
"221 - Pork chop, broiled or baked, lean only eaten",52,65
"222 - Pork steak or cutlet, broiled or baked, lean only eaten",51,64
"223 - Ham, smoked or cured, cooked, NS as to fat eaten",51,64
"224 - Pork roast, NS as to cut, cooked, lean only eaten",50,64
"226 - Pork bacon, NS as to fresh, smoked or cured, cooked",54,63
"227 - Pork, spareribs, cooked, lean only eaten",53,64
"231 - Lamb chop, NS as to cut, cooked, lean only eaten",51,65
"233 - Venison/deer steak, cooked, NS as to cooking method",52,65
"241 - Chicken, breast, roasted, broiled, or baked, skin not eaten",44,67
"242 - Turkey, NFS",44,64
"251 - Beef liver, fried",53,65
"252 - Ham, sliced, prepackaged or deli, luncheon meat",68,56
"261 - Salmon, baked or broiled",24,65
"262 - Squid, breaded, fried",51,65
"263 - Shrimp, floured, breaded, or battered, fried",48,66
"271 - Chicken or turkey with barbecue sauce, skin not eaten",63,62
272 - Meat loaf made with beef,57,62
273 - Chicken or turkey pot pie,61,70
274 - Tuna salad,32,65
"275 - Double cheeseburger (2 patties), with tomato and/or catsup, on bun",80,41
281 - Chicken and vegetable entree with noodles (diet frozen meal),51,65
"283 - Chicken vegetable soup with rice, Mexican style (Sopa / Caldo de Pollo)",51,79
"285 - Gravy, beef or meat",53,65
"311 - Egg, whole, fried",42,63
"321 - Egg omelet or scrambled egg, fat added in cooking",45,70
"322 - Egg, cheese, and ham on English muffin",56,63
"324 - Egg white omelet or scrambled egg, fat added in cooking",51,66
"332 - Scrambled egg, made from cholesterol-free frozen mixture",50,65
"411 - Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking",39,75
412 - Refried beans,42,73
"413 - Lentils, dry, cooked, fat added in cooking",46,66
414 - Soy sauce,39,65
416 - Lentil soup,38,65
"418 - Vegetarian burger or patty, meatless, no bun",43,64
"421 - Almonds, NFS",23,62
422 - Peanut butter,38,62
"424 - Coconut milk (liquid expressed from grated coconut meat, water added)",51,66
425 - Nut mixture with dried fruit and seeds,50,65
431 - Flax seeds,47,65
"511 - Roll, white, soft",64,60
"512 - Bread, whole wheat, 100%",49,65
"513 - Bread, wheat or cracked wheat",27,63
"514 - Bread, rye",45,64
"515 - Bread, oatmeal",51,65
"516 - Bread, multigrain",39,63
"521 - Biscuit, baking powder or buttermilk type, commercially baked",54,64
"522 - Tortilla, corn",33,81
"523 - Muffin, fruit and/or nuts",47,64
"524 - Bread, fruit, without nuts",49,64
"531 - Cake, chocolate, devil's food, or fudge, with icing, coating, or filling, made from home recipe or purchased ready-to-eat",53,63
"532 - Cookie, chocolate chip",45,63
"533 - Pie, apple, two crust",46,64
"534 - Cobbler, peach",50,65
"535 - Doughnut, cake type",56,62
